NodeId,DataType,VariableMapping
ns=2;i=124,BOOL,Qc2Simens.PtCraneStatus.PtSprd20Ft
ns=2;i=125,BOOL,Qc2Simens.PtCraneStatus.PtSprd40Ft
ns=2;i=126,BOOL,Qc2Simens.PtCraneStatus.PtSprd45Ft
ns=2;i=127,BOOL,Qc2Simens.PtCraneStatus.PtSprdTwin20Ft
ns=2;i=128,BOOL,Qc2Simens.PtCraneStatus.PtSprdHomePos
ns=2;i=129,BOOL,Qc2Simens.PtCraneStatus.PtSprdLanded
ns=2;i=130,BOOL,Qc2Simens.PtCraneStatus.PtSprdUnlocked
ns=2;i=131,BOOL,Qc2Simens.PtCraneStatus.PtSprdLocked
ns=2;i=132,BOOL,Qc2Simens.PtCraneStatus.PtSprdSLFlipperUp
ns=2;i=133,BOOL,Qc2Simens.PtCraneStatus.PtSprdLLFlipperUp
ns=2;i=134,BOOL,Qc2Simens.PtCraneStatus.PtSprdLRFlipperUp
ns=2;i=135,BOOL,Qc2Simens.PtCraneStatus.PtSprdSRFlipperUp
ns=2;i=136,BOOL,Qc2Simens.PtCraneStatus.Spare_B14
ns=2;i=137,BOOL,Qc2Simens.PtCraneStatus.Spare_B15
ns=2;i=141,DINT,Qc2Simens.PtTrolleyPosition
ns=2;i=142,DINT,Qc2Simens.PtHoistPosition
ns=2;i=143,INT,Qc2Simens.PtTrolleySpeed
ns=2;i=144,INT,Qc2Simens.PtHoistSpeed
ns=2;i=145,INT,Qc2Simens.PtHoistMaxSpeed
